File: output/sample_CN_S06_Kuser.out                   UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   33.03 mm
SCS storm type= user1
Storm duration=   6.0 h
SCS Curve number=  81.0
Watershed area=    0.24 ha
Maximum flow path length=   31.00 m
Average slope of flow path=   12.15 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=   25.38 mm=   60.91 m3
Initial Abstraction=   11.92 mm
Concentration time=    0.02 h=     1.42 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
    5.0490    0.0007    1.1036
    5.0547    0.0007    1.1037
    5.0604    0.0007    1.1041
    5.0661    0.0007    1.1045
    5.0717    0.0007    1.1051
    5.0774    0.0007    1.1056
    5.0831    0.0007    1.1062
    5.0888    0.0007    1.1067
    5.0944    0.0007    1.1063
    5.1001    0.0007    1.1025
    5.1058    0.0007    1.0959
    5.1115    0.0007    1.0894
    5.1171    0.0007    1.0848
    5.1228    0.0007    1.0822
    5.1285    0.0007    1.0811
    5.1342    0.0007    1.0808
    5.1398    0.0007    1.0809
    5.1455    0.0007    1.0813
    5.1512    0.0007    1.0817
    5.1569    0.0007    1.0822
    5.1625    0.0007    1.0827
    5.1682    0.0007    1.0832
    5.1739    0.0007    1.0838
    5.1796    0.0007    1.0833
    5.1852    0.0007    1.0800
    5.1909    0.0007    1.0753
    5.1966    0.0007    1.0714
    5.2023    0.0007    1.0689
    5.2079    0.0007    1.0677
    5.2136    0.0007    1.0673
    5.2193    0.0007    1.0674
    5.2250    0.0007    1.0677
    5.2306    0.0007    1.0681
    5.2363    0.0007    1.0686
    5.2420    0.0007    1.0691
    5.2477    0.0007    1.0696
    5.2533    0.0007    1.0701
    5.2590    0.0007    1.0702
    5.2647    0.0007    1.0685
    5.2704    0.0007    1.0636
    5.2760    0.0007    1.0577
    5.2817    0.0007    1.0531
    5.2874    0.0007    1.0503
    5.2931    0.0007    1.0490
    5.2987    0.0007    1.0486
    5.3044    0.0007    1.0486
    5.3101    0.0007    1.0489
    5.3158    0.0007    1.0493
    5.3215    0.0007    1.0497
    5.3271    0.0007    1.0502
    5.3328    0.0007    1.0507
    5.3385    0.0007    1.0511
    5.3442    0.0007    1.0509
    5.3498    0.0007    1.0479
    5.3555    0.0007    1.0425
    5.3612    0.0007    1.0369
    5.3669    0.0007    1.0328
    5.3725    0.0007    1.0304
    5.3782    0.0007    1.0294
    5.3839    0.0007    1.0291
    5.3896    0.0007    1.0292
    5.3952    0.0007    1.0295
    5.4009    0.0007    1.0298
    5.4066    0.0007    1.0303
    5.4123    0.0007    1.0307
    5.4179    0.0007    1.0311
    5.4236    0.0007    1.0316
    5.4293    0.0007    1.0311
    5.4350    0.0007    1.0279
    5.4406    0.0007    1.0232
    5.4463    0.0007    1.0190
    5.4520    0.0007    1.0162
    5.4577    0.0007    1.0148
    5.4633    0.0007    1.0143
    5.4690    0.0007    1.0142
    5.4747    0.0007    1.0144
    5.4804    0.0007    1.0148
    5.4860    0.0007    1.0152
    5.4917    0.0007    1.0156
    5.4974    0.0007    1.0160
    5.5031    0.0007    1.0164
    5.5087    0.0007    1.0167
    5.5144    0.0007    1.0155
    5.5201    0.0007    1.0116
    5.5258    0.0007    1.0068
    5.5314    0.0007    1.0029
    5.5371    0.0007    1.0006
    5.5428    0.0007    0.9994
    5.5485    0.0007    0.9990
    5.5541    0.0007    0.9991
    5.5598    0.0007    0.9993
    5.5655    0.0007    0.9997
    5.5712    0.0007    1.0000
    5.5769    0.0007    1.0004
    5.5825    0.0007    1.0008
    5.5882    0.0007    1.0012
    5.5939    0.0007    1.0011
    5.5996    0.0007    0.9990
    5.6052    0.0007    0.9947
    5.6109    0.0007    0.9901
    5.6166    0.0007    0.9866
    5.6223    0.0007    0.9846
    5.6279    0.0007    0.9837
    5.6336    0.0007    0.9835
    5.6393    0.0007    0.9835
    5.6450    0.0007    0.9838
    5.6506    0.0007    0.9841
    5.6563    0.0007    0.9845
    5.6620    0.0007    0.9849
    5.6677    0.0007    0.9852
    5.6733    0.0007    0.9856
    5.6790    0.0007    0.9852
    5.6847    0.0007    0.9821
    5.6904    0.0007    0.9773
    5.6960    0.0006    0.9729
    5.7017    0.0006    0.9699
    5.7074    0.0006    0.9683
    5.7131    0.0006    0.9676
    5.7187    0.0006    0.9674
    5.7244    0.0006    0.9676
    5.7301    0.0006    0.9678
    5.7358    0.0006    0.9682
    5.7414    0.0006    0.9685
    5.7471    0.0006    0.9689
    5.7528    0.0006    0.9692
    5.7585    0.0006    0.9695
    5.7641    0.0006    0.9689
    5.7698    0.0006    0.9660
    5.7755    0.0006    0.9624
    5.7812    0.0006    0.9593
    5.7868    0.0006    0.9575
    5.7925    0.0006    0.9566
    5.7982    0.0006    0.9563
    5.8039    0.0006    0.9564
    5.8095    0.0006    0.9566
    5.8152    0.0006    0.9569
    5.8209    0.0006    0.9572
    5.8266    0.0006    0.9576
    5.8323    0.0006    0.9579
    5.8379    0.0006    0.9583
    5.8436    0.0006    0.9583
    5.8493    0.0006    0.9569
    5.8550    0.0006    0.9538
    5.8606    0.0006    0.9502
    5.8663    0.0006    0.9476
    5.8720    0.0006    0.9460
    5.8777    0.0006    0.9453
    5.8833    0.0006    0.9451
    5.8890    0.0006    0.9452
    5.8947    0.0006    0.9454
    5.9004    0.0006    0.9457
    5.9060    0.0006    0.9460
    5.9117    0.0006    0.9464
    5.9174    0.0006    0.9467
    5.9231    0.0006    0.9470
    5.9287    0.0006    0.9474
    5.9344    0.0006    0.9477
    5.9401    0.0006    0.9480
    5.9458    0.0006    0.9484
    5.9514    0.0006    0.9487
    5.9571    0.0006    0.9490
    5.9628    0.0006    0.9494
    5.9685    0.0006    0.9497
    5.9741    0.0006    0.9500
    5.9798    0.0006    0.9504
    5.9855    0.0006    0.9507
    5.9912    0.0006    0.9510
    5.9968    0.0006    0.9514
    6.0025    0.0006    0.9517
    6.0082    0.0006    0.9521
    6.0139    0.0006    0.9052
    6.0195    0.0005    0.7222
    6.0252    0.0003    0.4819
    6.0309    0.0002    0.2795
    6.0366    0.0001    0.1459
    6.0422    0.0000    0.0703
    6.0479    0.0000    0.0318
    6.0536    0.0000    0.0137
    6.0593    0.0000    0.0057
    6.0649    0.0000    0.0023
    6.0706    0.0000    0.0009
    6.0763    0.0000    0.0003
    6.0820    0.0000    0.0001
    6.0877    0.0000    0.0000

Peak flow=   0.0068 m3/s=   10.1872 mm/h
Time to peak=    3.01 h=   180.69 min
Number of final hydrograph steps (nhyd)  =  578
Time to ponding=   2.813 h
