File: output/class.out                                 UH v3.0.8, 09/2023
 
  
  HYDROGRAPH CALCULATION FOR WATERSHED-SCS METHOD
  
 INPUTS
 ------
Storm Rainfall=   88.00 mm
SCS storm type= user 
Storm duration=   6.0 h
SCS Curve number=  87.0
Watershed area=    0.10 ha
Maximum flow path length=   21.10 m
Average slope of flow path=    4.20 %
MUSLE type=  1 where R-factor is (see manual)
  0=Foster, 1=Williams,   2=GLEAMS
  3=Cooley, 4=PRZM-MUSLE, 5=PRZM-MUSS
  
 OUTPUTS
 -------
Runoff volume=  489.83 mm=  489.83 m3
Initial Abstraction=    7.59 mm
Concentration time=    0.02 h=     1.44 min
  
 SCS  0.3-min unit hydrograph
 time (h)    q(m3/s)   q(mm/h)
    4.5523    0.0035   12.5316
    4.5581    0.0035   12.5356
    4.5639    0.0035   12.5396
    4.5696    0.0035   12.5435
    4.5754    0.0035   12.5475
    4.5812    0.0035   12.5514
    4.5870    0.0035   12.5554
    4.5928    0.0035   12.5593
    4.5985    0.0035   12.5632
    4.6043    0.0035   12.5671
    4.6101    0.0035   12.5710
    4.6159    0.0035   12.5749
    4.6216    0.0035   12.5788
    4.6274    0.0035   12.5826
    4.6332    0.0035   12.5865
    4.6390    0.0035   12.5903
    4.6448    0.0035   12.5942
    4.6505    0.0035   12.5980
    4.6563    0.0035   12.6018
    4.6621    0.0035   12.6056
    4.6679    0.0035   12.6094
    4.6736    0.0035   12.6132
    4.6794    0.0035   12.6170
    4.6852    0.0035   12.6207
    4.6910    0.0035   12.6245
    4.6967    0.0035   12.6282
    4.7025    0.0035   12.6320
    4.7083    0.0035   12.6357
    4.7141    0.0035   12.6394
    4.7199    0.0035   12.6431
    4.7256    0.0035   12.6468
    4.7314    0.0035   12.6505
    4.7372    0.0035   12.6542
    4.7430    0.0035   12.6578
    4.7487    0.0035   12.6615
    4.7545    0.0035   12.6652
